url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_a322a005d41402d415ee4d060a1f4f5a,,
주제,통검,,
범위,합계,,
기간,일간 : 2019-12-12 ~ 2020-12-12,,
성별,"전체(여성,남성)",,
연령대,"25~29, 30~34, 35~39",,
날짜,캠핑,날짜,텐트
2020-03-31,33.81731,2020-03-31,47.79567
2020-04-01,29.38225,2020-04-01,40.03431
2020-04-02,29.48785,2020-04-02,39.28194
2020-04-03,31.46779,2020-04-03,35.46726
2020-04-04,39.14994,2020-04-04,59.46409
2020-04-05,46.39651,2020-04-05,85.00527
2020-04-06,43.96779,2020-04-06,62.4472
2020-04-07,38.05438,2020-04-07,52.20432
2020-04-08,36.21964,2020-04-08,49.16842
2020-04-09,33.69852,2020-04-09,43.14941
2020-04-10,30.92661,2020-04-10,37.92238
2020-04-11,33.14413,2020-04-11,49.43241
2020-04-12,39.66473,2020-04-12,67.68743
2020-04-13,38.68796,2020-04-13,53.90707
2020-04-14,34.1341,2020-04-14,45.84213
2020-04-15,35.54646,2020-04-15,56.0058
2020-04-16,39.13674,2020-04-16,49.736
2020-04-17,35.73125,2020-04-17,44.29778
2020-04-18,44.91816,2020-04-18,66.72386
2020-04-19,60.42766,2020-04-19,83.92291
2020-04-20,53.59028,2020-04-20,64.24234
2020-04-21,46.6473,2020-04-21,56.99577
2020-04-22,45.57814,2020-04-22,51.71594
2020-04-23,44.25818,2020-04-23,44.03379
2020-04-24,39.01795,2020-04-24,41.73706
2020-04-25,43.37381,2020-04-25,55.45142
2020-04-26,59.00211,2020-04-26,88.45036
2020-04-27,60.49366,2020-04-27,73.62724
2020-04-28,53.1151,2020-04-28,59.3453
2020-04-29,48.98363,2020-04-29,45.96092
2020-04-30,52.56071,2020-04-30,73.93083
2020-05-01,52.60031,2020-05-01,86.64202
2020-05-02,43.5586,2020-05-02,81.85058
2020-05-03,49.23442,2020-05-03,89.51953
2020-05-04,41.82946,2020-05-04,73.91763
2020-05-05,41.19588,2020-05-05,93.90179
2020-05-06,37.98838,2020-05-06,72.39968
2020-05-07,31.81098,2020-05-07,50.11879
2020-05-08,23.75923,2020-05-08,37.2228
2020-05-09,27.30992,2020-05-09,44.40337
2020-05-10,36.29883,2020-05-10,65.19271
2020-05-11,35.66525,2020-05-11,56.32259
2020-05-12,35.20327,2020-05-12,49.11562
2020-05-13,30.34582,2020-05-13,47.37328
2020-05-14,30.59662,2020-05-14,42.37064
2020-05-15,32.10137,2020-05-15,39.18954
2020-05-16,34.83368,2020-05-16,51.74234
2020-05-17,45.15575,2020-05-17,85.63885
2020-05-18,47.79567,2020-05-18,69.62777
2020-05-19,39.78352,2020-05-19,57.40496
2020-05-20,38.50316,2020-05-20,50.43558
2020-05-21,36.69482,2020-05-21,45.47254
2020-05-22,35.04487,2020-05-22,43.6906
2020-05-23,39.14994,2020-05-23,67.27824
2020-05-24,49.9604,2020-05-24,100.0
2020-05-25,46.6605,2020-05-25,75.79197
2020-05-26,41.59186,2020-05-26,62.4472
2020-05-27,38.13357,2020-05-27,51.29355
2020-05-28,33.75131,2020-05-28,45.26135
2020-05-29,35.09767,2020-05-29,41.22228
2020-05-30,38.27877,2020-05-30,61.90601
2020-05-31,45.73653,2020-05-31,92.42344
2020-06-01,47.45248,2020-06-01,71.96409
2020-06-02,42.84582,2020-06-02,58.09134
2020-06-03,40.10031,2020-06-03,48.00686
2020-06-04,37.67159,2020-06-04,45.35374
2020-06-05,35.83685,2020-06-05,40.89229
2020-06-06,36.98521,2020-06-06,62.2756
2020-06-07,48.05966,2020-06-07,94.68057
2020-06-08,47.12249,2020-06-08,72.09609
2020-06-09,37.59239,2020-06-09,53.15469
2020-06-10,31.38859,2020-06-10,43.82259
2020-06-11,30.88701,2020-06-11,39.46673
2020-06-12,28.65628,2020-06-12,35.46726
2020-06-13,32.29936,2020-06-13,45.67053
2020-06-14,38.08078,2020-06-14,62.64519
2020-06-15,38.56916,2020-06-15,53.64308
2020-06-16,34.58289,2020-06-16,46.02692
2020-06-17,30.72861,2020-06-17,40.4831
2020-06-18,32.48416,2020-06-18,37.81678
2020-06-19,32.36536,2020-06-19,36.08764
2020-06-20,33.32893,2020-06-20,55.17423
2020-06-21,41.20908,2020-06-21,78.81467
2020-06-22,37.55279,2020-06-22,60.59926
2020-06-23,33.76451,2020-06-23,47.47888
2020-06-24,30.05543,2020-06-24,40.29831
2020-06-25,30.90021,2020-06-25,36.99841
2020-06-26,29.97624,2020-06-26,35.42766
2020-06-27,33.27613,2020-06-27,48.93083
2020-06-28,43.09662,2020-06-28,72.71647
2020-06-29,41.65786,2020-06-29,58.28933
2020-06-30,34.3717,2020-06-30,49.56441
2020-07-01,33.80411,2020-07-01,45.84213
